frequency f in Hz; re(r) ; im(r)
527.000000;0.601514;-0.350411
528.000000;0.605752;-0.349685
529.000000;0.600166;-0.352259
530.000000;0.600671;-0.351791
531.000000;0.600767;-0.347782
532.000000;0.601901;-0.352641
533.000000;0.600312;-0.353544
534.000000;0.597431;-0.352980
535.000000;0.596852;-0.353990
536.000000;0.597233;-0.352832
537.000000;0.595697;-0.353020
538.000000;0.594571;-0.351647
539.000000;0.594407;-0.349718
540.000000;0.591802;-0.352280
541.000000;0.590888;-0.351137
542.000000;0.588268;-0.349346
543.000000;0.591185;-0.349819
544.000000;0.588238;-0.348432
545.000000;0.590122;-0.349328
546.000000;0.590473;-0.347774
547.000000;0.592557;-0.345774
548.000000;0.586834;-0.351242
549.000000;0.585636;-0.352411
550.000000;0.588556;-0.351336
551.000000;0.588550;-0.348923
552.000000;0.589892;-0.346032
553.000000;0.595117;-0.346185
554.000000;0.595495;-0.352077
555.000000;0.590721;-0.351565
556.000000;0.587666;-0.349630
557.000000;0.582302;-0.348183
558.000000;0.581896;-0.344884
559.000000;0.582717;-0.347387
560.000000;0.580582;-0.346211
561.000000;0.582496;-0.344706
562.000000;0.578794;-0.345197
563.000000;0.578883;-0.346269
564.000000;0.577158;-0.347956
565.000000;0.577623;-0.346972
566.000000;0.577722;-0.344091
567.000000;0.576983;-0.345849
568.000000;0.579331;-0.345795
569.000000;0.579152;-0.344223
570.000000;0.578060;-0.345156
571.000000;0.577062;-0.346883
572.000000;0.574057;-0.344511
573.000000;0.571030;-0.344032
574.000000;0.572794;-0.346762
575.000000;0.572707;-0.348018
576.000000;0.571101;-0.344722
577.000000;0.573396;-0.344019
578.000000;0.573064;-0.344257
579.000000;0.574184;-0.345021
580.000000;0.573485;-0.343991
581.000000;0.570741;-0.345683
582.000000;0.568472;-0.345356
583.000000;0.568103;-0.344102
584.000000;0.568042;-0.343086
585.000000;0.567575;-0.345289
586.000000;0.568568;-0.344453
587.000000;0.567812;-0.341931
588.000000;0.568407;-0.343135
589.000000;0.567699;-0.341184
590.000000;0.565636;-0.342024
591.000000;0.565941;-0.342301
592.000000;0.566891;-0.344776
593.000000;0.565959;-0.343090
594.000000;0.565349;-0.342158
595.000000;0.563925;-0.343414
596.000000;0.562077;-0.343018
597.000000;0.563797;-0.342251
598.000000;0.561556;-0.343869
599.000000;0.559441;-0.343282
600.000000;0.558986;-0.342870
601.000000;0.559177;-0.342466
602.000000;0.557670;-0.341877
603.000000;0.557252;-0.342905
604.000000;0.557627;-0.342807
605.000000;0.557595;-0.344111
606.000000;0.555000;-0.344033
607.000000;0.553684;-0.344450
608.000000;0.553411;-0.343644
609.000000;0.554062;-0.342329
610.000000;0.552344;-0.342309
611.000000;0.549163;-0.342754
612.000000;0.546712;-0.342092
613.000000;0.547590;-0.340861
614.000000;0.545211;-0.340945
615.000000;0.546179;-0.341193
616.000000;0.545625;-0.341409
617.000000;0.543460;-0.339501
618.000000;0.543604;-0.339520
619.000000;0.544864;-0.339514
620.000000;0.543132;-0.337645
621.000000;0.542165;-0.337264
622.000000;0.540802;-0.337336
623.000000;0.538816;-0.335203
624.000000;0.540194;-0.332812
625.000000;0.540545;-0.333252
626.000000;0.538734;-0.332486
627.000000;0.537737;-0.331300
628.000000;0.539267;-0.331634
629.000000;0.538545;-0.331316
630.000000;0.537351;-0.331164
631.000000;0.537133;-0.331694
632.000000;0.536997;-0.331194
