Frequency in Hz	AED_Ref_40mm_LF Sound Reflection Factor continuous Re	Frequency in Hz	AED_Ref_40mm_HF Sound Reflection Factor continuous Re	Frequency in Hz	SpecimenHolder_HF Sound Reflection Factor continuous Re	Frequency in Hz	SpecimenHolder_LF Sound Reflection Factor continuous Re	Frequency in Hz	Air_LF Sound Reflection Factor continuous Re	Frequency in Hz	Air_HF Sound Reflection Factor continuous Re	Frequency in Hz	AED_Ref_40mm_LF Sound Reflection Factor continuous Im	Frequency in Hz	AED_Ref_40mm_HF Sound Reflection Factor continuous Im	Frequency in Hz	SpecimenHolder_HF Sound Reflection Factor continuous Im	Frequency in Hz	SpecimenHolder_LF Sound Reflection Factor continuous Im	Frequency in Hz	Air_LF Sound Reflection Factor continuous Im	Frequency in Hz	Air_HF Sound Reflection Factor continuous Im	
318,75	0,626620531082153	775	0,827161073684692	775	0,783806085586548	318,75	0,900807499885559	318,75	0,892586827278137	775	0,746422350406647	318,75	-0,11927891522646	775	0,0903976783156395	775	-0,602377593517303	318,75	-0,299195110797882	318,75	-0,327688008546829	775	-0,656911194324493	
321,875	0,629781723022461	778,125	0,826079487800598	778,125	0,780884802341461	321,875	0,911497592926025	321,875	0,903202712535858	778,125	0,743864774703979	321,875	-0,105978533625603	778,125	0,0891068875789642	778,125	-0,601613223552704	321,875	-0,290914863348007	321,875	-0,32012003660202	778,125	-0,655245780944824	
325	0,632005274295807	781,25	0,826602578163147	781,25	0,778477847576141	325	0,914550065994263	325	0,906311988830566	781,25	0,740395307540894	325	-0,0952370166778564	781,25	0,0876970440149307	781,25	-0,606552124023438	325	-0,286751091480255	325	-0,316218614578247	781,25	-0,659998059272766	
328,125	0,630087018013	784,375	0,825430274009705	784,375	0,773741006851196	328,125	0,911599516868591	328,125	0,90354597568512	784,375	0,735343277454376	328,125	-0,0855502635240555	784,375	0,0861918330192566	784,375	-0,60937887430191	328,125	-0,283790111541748	328,125	-0,313211768865585	784,375	-0,66207492351532	
331,25	0,634669899940491	787,5	0,826214194297791	787,5	0,770240724086761	331,25	0,921818196773529	331,25	0,913726568222046	787,5	0,730813145637512	331,25	-0,0843452289700508	787,5	0,0859767943620682	787,5	-0,616040885448456	331,25	-0,297937512397766	331,25	-0,328043848276138	787,5	-0,668534934520721	
334,375	0,634295642375946	790,625	0,825352549552917	790,625	0,769825339317322	334,375	0,924649953842163	334,375	0,916012108325958	790,625	0,730630397796631	334,375	-0,0772168859839439	790,625	0,0850325897336006	790,625	-0,616374373435974	334,375	-0,300470352172852	334,375	-0,331134349107742	790,625	-0,669632136821747	
337,5	0,632972180843353	793,75	0,821680545806885	793,75	0,771477103233337	337,5	0,922942578792572	337,5	0,91414600610733	793,75	0,732755541801453	337,5	-0,0679306462407112	793,75	0,0873884037137032	793,75	-0,614795982837677	337,5	-0,298142462968826	337,5	-0,329046547412872	793,75	-0,6685791015625	
340,625	0,634235680103302	796,875	0,82038027048111	796,875	0,773897409439087	340,625	0,927126348018646	340,625	0,918251752853394	796,875	0,735367000102997	340,625	-0,0615073032677174	796,875	0,0888224616646767	796,875	-0,616997420787811	340,625	-0,304206639528275	340,625	-0,335563749074936	796,875	-0,671665906906128	
343,75	0,632663071155548	800	0,819609940052032	800	0,770320475101471	343,75	0,92168653011322	343,75	0,912668824195862	800	0,731113493442535	343,75	-0,0572298653423786	800	0,0892316401004791	800	-0,622771203517914	343,75	-0,312743008136749	343,75	-0,34443524479866	800	-0,677288830280304	
346,875	0,635646104812622	803,125	0,818789064884186	803,125	0,777595579624176	346,875	0,922708332538605	346,875	0,913759350776672	803,125	0,737985491752625	346,875	-0,0494778044521809	803,125	0,092482402920723	803,125	-0,622384250164032	346,875	-0,314953774213791	346,875	-0,34669491648674	803,125	-0,678704380989075	
