Frequency in Hz	AED_Ref_40mm_LF Normalized Surface Impedance continuous Re	Frequency in Hz	AED_Ref_40mm_HF Normalized Surface Impedance continuous Re	Frequency in Hz	SpecimenHolder_HF Normalized Surface Impedance continuous Re	Frequency in Hz	SpecimenHolder_LF Normalized Surface Impedance continuous Re	Frequency in Hz	Air_LF Normalized Surface Impedance continuous Re	Frequency in Hz	Air_HF Normalized Surface Impedance continuous Re	Frequency in Hz	AED_Ref_40mm_LF Normalized Surface Impedance continuous Im	Frequency in Hz	AED_Ref_40mm_HF Normalized Surface Impedance continuous Im	Frequency in Hz	SpecimenHolder_HF Normalized Surface Impedance continuous Im	Frequency in Hz	SpecimenHolder_LF Normalized Surface Impedance continuous Im	Frequency in Hz	Air_LF Normalized Surface Impedance continuous Im	Frequency in Hz	Air_HF Normalized Surface Impedance continuous Im	
303,125	3,75456929206848	759,375	8,1783390045166	759,375	0,0790944471955299	303,125	0,495027244091034	303,125	0,326939195394516	759,375	0,0414926744997501	303,125	-2,41009473800659	759,375	4,84178304672241	759,375	-3,03387570381165	303,125	-6,27468395233154	303,125	-5,75780868530273	759,375	-2,73680281639099	
306,25	3,76444792747498	762,5	8,15515899658203	762,5	0,0545580349862576	306,25	0,49178022146225	306,25	0,371955037117004	762,5	0,0213963724672794	306,25	-2,26145195960999	762,5	5,02437543869019	762,5	-3,02962779998779	306,25	-6,23328256607056	306,25	-5,70015621185303	762,5	-2,73041749000549	
309,375	3,77950811386108	765,625	8,07046127319336	765,625	0,0676899701356888	309,375	0,580968737602234	309,375	0,450595885515213	765,625	0,0341601110994816	309,375	-2,10645985603333	765,625	4,92904710769653	765,625	-3,00768733024597	309,375	-6,19514036178589	309,375	-5,65831518173218	765,625	-2,71154236793518	
312,5	3,74611592292786	768,75	8,24123573303223	768,75	0,0552919469773769	312,5	0,677088260650635	312,5	0,53663557767868	768,75	0,0237059015780687	312,5	-1,93570566177368	768,75	4,74860668182373	768,75	-2,96014094352722	312,5	-5,94188499450684	312,5	-5,4496922492981	768,75	-2,66994881629944	
315,625	3,82428383827209	771,875	8,19772243499756	771,875	0,0672866925597191	315,625	1,02355241775513	315,625	0,828199684619904	771,875	0,0352526642382145	315,625	-1,69424700737	771,875	4,67940187454224	771,875	-2,93415522575378	315,625	-6,08809995651245	315,625	-5,57297372817993	771,875	-2,64484834671021	
318,75	3,86045575141907	775	8,08601665496826	775	0,0556379295885563	318,75	0,996691346168518	318,75	0,806523203849792	775	0,0228328909724951	318,75	-1,55270946025848	775	4,75214004516602	775	-2,94130706787109	318,75	-6,02263593673706	318,75	-5,5112042427063	775	-2,64972257614136	
321,875	3,99306392669678	778,125	8,10855674743652	778,125	0,0689850598573685	321,875	0,914308190345764	321,875	0,73089462518692	778,125	0,0349896512925625	321,875	-1,42931246757507	778,125	4,66670274734497	778,125	-2,93505716323853	321,875	-6,29249048233032	321,875	-5,72427177429199	778,125	-2,64771294593811	
325	4,09369802474976	781,25	8,1848087310791	781,25	0,0625135600566864	325	0,90890109539032	325	0,722655236721039	781,25	0,0322416536509991	325	-1,3182487487793	781,25	4,64528512954712	781,25	-2,90927958488464	325	-6,40584993362427	325	-5,81435680389404	781,25	-2,62428832054138	
328,125	4,13217544555664	784,375	8,21124267578125	784,375	0,0709579139947891	328,125	1,00110936164856	328,125	0,796081006526947	784,375	0,0411637090146542	328,125	-1,18692517280579	784,375	4,54794692993164	784,375	-2,88438963890076	328,125	-6,42411756515503	328,125	-5,83235025405884	784,375	-2,6046130657196	
331,25	4,19746112823486	787,5	8,24552154541016	787,5	0,06297267973423	331,25	0,648029506206512	331,25	0,499678999185562	787,5	0,0365289822220802	331,25	-1,19995868206024	787,5	4,57402372360229	787,5	-2,85009026527405	331,25	-6,28035736083984	331,25	-5,7023401260376	787,5	-2,57425594329834	
334,375	4,23548698425293	790,625	8,25719165802002	790,625	0,0634136572480202	334,375	0,570445954799652	334,375	0,439333111047745	790,625	0,0341134332120419	334,375	-1,10545027256012	790,625	4,50715446472168	790,625	-2,84766721725464	334,375	-6,2624044418335	334,375	-5,67477655410767	790,625	-2,57072687149048	
337,5	4,26869487762451	793,75	8,04381561279297	793,75	0,0624110102653503	337,5	0,625224828720093	337,5	0,484817206859589	793,75	0,0310006588697433	337,5	-0,975146293640137	793,75	4,43207120895386	793,75	-2,8582079410553	337,5	-6,28814935684204	337,5	-5,6907525062561	793,75	-2,57930707931519	
340,625	4,31762933731079	796,875	7,94683694839478	796,875	0,0472362451255322	340,625	0,489463150501251	340,625	0,370628237724304	796,875	0,0155427353456616	340,625	-0,894217967987061	796,875	4,42423629760742	796,875	-2,85773825645447	340,625	-6,21767282485962	340,625	-5,62621402740479	796,875	-2,57755208015442	
343,75	4,31557035446167	800	7,90752267837524	800	0,042584091424942	343,75	0,506880283355713	343,75	0,383328288793564	800	0,012716855853796	343,75	-0,828148186206818	800	4,40619039535522	800	-2,82694482803345	343,75	-6,01769161224365	343,75	-5,45586538314819	800	-2,55089712142944	
346,875	4,38977813720703	803,125	7,75618171691895	803,125	0,0182747971266508	346,875	0,46984401345253	346,875	0,351365476846695	803,125	-0,00994203239679337	346,875	-0,731910347938538	803,125	4,46878480911255	803,125	-2,84957599639893	346,875	-5,98942899703979	346,875	-5,43260765075684	803,125	-2,56457805633545	
