Frequency in Hz	AED_Ref_40mm_LF Sound Absorption Coefficient continuous	Frequency in Hz	AED_Ref_40mm_HF Sound Absorption Coefficient continuous	Frequency in Hz	SpecimenHolder_HF Sound Absorption Coefficient continuous	Frequency in Hz	SpecimenHolder_LF Sound Absorption Coefficient continuous	Frequency in Hz	Air_LF Sound Absorption Coefficient continuous	Frequency in Hz	Air_HF Sound Absorption Coefficient continuous	Frequency in Hz	AED_Ref_40mm_LF Sound Absorption Coefficient 1/3-octave	Frequency in Hz	AED_Ref_40mm_HF Sound Absorption Coefficient 1/3-octave	Frequency in Hz	SpecimenHolder_HF Sound Absorption Coefficient 1/3-octave	Frequency in Hz	SpecimenHolder_LF Sound Absorption Coefficient 1/3-octave	Frequency in Hz	Air_LF Sound Absorption Coefficient 1/3-octave	Frequency in Hz	Air_HF Sound Absorption Coefficient 1/3-octave	
415,625	0,493386022927629	871,875	0,338211433634035	871,875	0,0234265204675724	415,625	0,0255988721659335	415,625	0,0217129873663221	871,875	0,0132110079914123													
418,75	0,498839629377605	875	0,344867547481599	875	0,0310676491061264	418,75	0,0533296029559093	418,75	0,0506629767282504	875	0,0205261408835395													
421,875	0,489555236355522	878,125	0,341102451365565	878,125	0,02654560451674	421,875	0,0308313016172728	421,875	0,0320806842543744	878,125	0,0164464816019775													
425	0,487870037929147	881,25	0,341072618503034	881,25	0,0331664986034307	425	0,0402520753852513	425	0,0382150821811649	881,25	0,023421334101702													
428,125	0,483950432866248	884,375	0,344294975011389	884,375	0,0299808073877539	428,125	0,0566603605078974	428,125	0,048382024281971	884,375	0,0197756245513272													
431,25	0,473452744759108	887,5	0,352376684064619	887,5	0,0394930926014712	431,25	0,0348147686675786	431,25	0,0304978168021082	887,5	0,0291122596109159													
434,375	0,473049120008195	890,625	0,347575956275415	890,625	0,0396913748249237	434,375	0,039255474642659	434,375	0,0346318336799823	890,625	0,0292393558838671													
437,5	0,470955240731003	893,75	0,333144199981063	893,75	0,0232277227757847	437,5	0,0350247797352575	437,5	0,0303798320344525	893,75	0,0143283017822273													
440,625	0,467783133684478	896,875	0,337066744630305	896,875	0,0295037551954391	440,625	0,0444560997700696	440,625	0,038446105652139	896,875	0,0190994561986515													
443,75	0,46225344362726	900	0,336830682157468	900	0,0289425410511497	443,75	0,0406951355191676	443,75	0,0373645098725942	900	0,0182202322142799													
446,875	0,460166196164588	903,125	0,343677027416965	903,125	0,0343352679778153	446,875	0,0514359996760887	446,875	0,0456353211100659	903,125	0,0242757114075597													
450	0,447012683229879	906,25	0,338522438298905	906,25	0,0305937734862791	450	0,0226093507412799	450	0,016538231513081	906,25	0,0215388250696276													
453,125	0,448084919294492	909,375	0,326847712585103	909,375	0,0212690729243156	453,125	0,0181164777829793	453,125	0,0125380432083043	909,375	0,0112628012594613													
456,25	0,43617179420413	912,5	0,320622610506429	912,5	0,0226692831821134	456,25	-0,000705314654282141	456,25	-0,00544211176464371	912,5	0,0128504230921065													
459,375	0,434425393729636	915,625	0,320233448478954	915,625	0,0251307619610451	459,375	0,0152132622016972	459,375	0,0109379044876063	915,625	0,0148413559844242													
462,5	0,431119887571502	918,75	0,322276705946305	918,75	0,0315096579317046	462,5	0,0249233696631884	462,5	0,0206040279227233	918,75	0,0208597307173252													
465,625	0,422895725341778	921,875	0,332383512072677	921,875	0,0353418103176339	465,625	0,0172592525910009	465,625	0,0137173877982506	921,875	0,0239107194369628													
468,75	0,421590606927634	925	0,330486354729172	925	0,0334151984957665	468,75	0,0195200678130454	468,75	0,0149937709908181	925	0,0222755837078708													
471,875	0,419622287919242	928,125	0,320695690716715	928,125	0,0238519373841145	471,875	0,0251369476204623	471,875	0,020447171855234	928,125	0,013172271499083													
475	0,422590474500379	931,25	0,325862467095632	931,25	0,0317784106914919	475	0,030821971397705	475	0,0263128045990491	931,25	0,0214132862996201													
478,125	0,426652919818468	934,375	0,322189146868798	934,375	0,0295550151384156	478,125	0,0420142762425794	478,125	0,0360186618552792	934,375	0,0194267306448079													
481,25	0,412433161863744	937,5	0,321774778680533	937,5	0,0323612344585087	481,25	0,0221390654399385	481,25	0,0165608238925615	937,5	0,0220757326477991													
484,375	0,41428385289968	940,625	0,319788413838698	940,625	0,0319623845517947	484,375	0,0328425232542244	484,375	0,02753739954606	940,625	0,0210479945614611													
487,5	0,412611317640695	943,75	0,317991185033169	943,75	0,0278850993768109	487,5	0,0355900316213665	487,5	0,029427458892574	943,75	0,0177876583809706													
490,625	0,408563155652653	946,875	0,317082282247158	946,875	0,0289055252167409	490,625	0,0360980222342282	490,625	0,029968480376932	946,875	0,0186411883602251													
493,75	0,410980565074209	950	0,317654365444273	950	0,0305240297868408	493,75	0,043859618044382	493,75	0,0385180347600261	950	0,0200531635316152													
496,875	0,408080905141105	953,125	0,317587291651229	953,125	0,0286880261878332	496,875	0,0404689745570816	496,875	0,0344647550438227	953,125	0,0173072615685712													
500	0,391632626899517	956,25	0,316853837120726	956,25	0,0351247281884468	500	0,0194628800893375	500	0,0145393755589063	956,25	0,0240453812205934													
503,125	0,391074835519752	959,375	0,315918284712622	959,375	0,03741757069434	503,125	0,0214016671294744	503,125	0,0172418661703486	959,375	0,0265788066690824													
506,25	0,388207575953816	962,5	0,313928736806127	962,5	0,0315817922489868	506,25	0,0210819324046968	506,25	0,0165666695842798	962,5	0,0204919827095409													
509,375	0,380743547761773	965,625	0,312994267961293	965,625	0,0316600028645144	509,375	0,0149156617225673	509,375	0,0105072728882858	965,625	0,0206274157364617													
512,5	0,385430040796821	968,75	0,30722879985799	968,75	0,0265276599170992	512,5	0,0267866215801106	512,5	0,0218728606694312	968,75	0,0154926942437817													
515,625	0,387449784790446	971,875	0,310600763314317	971,875	0,0326163500878889	515,625	0,0295913158493617	515,625	0,0238079544902456	971,875	0,0213353109857173													
518,75	0,38617106891877	975	0,309784598933407	975	0,0341963909220422	518,75	0,0320185385590968	518,75	0,0253500556243124	975	0,0231729822555515													
521,875	0,375340835619842	978,125	0,308875381907912	978,125	0,0342186721930471	521,875	0,0258132348249366	521,875	0,020093101878915	978,125	0,0230223360434758													
525	0,378734109548616	981,25	0,313157595297805	981,25	0,0391630409757102	525	0,0309204844953455	525	0,0255453796456483	981,25	0,0277037955019452													
528,125	0,368478557912025	984,375	0,30711854868211	984,375	0,0335941636438726	528,125	0,0173376068072688	528,125	0,0119183583788143	984,375	0,0220934725346761													
531,25	0,369955191190452	987,5	0,306117300316706	987,5	0,0335961505219832	531,25	0,025350770717975	531,25	0,0201962709402519	987,5	0,0221241768846699													
534,375	0,368723339067306	990,625	0,306479475324656	990,625	0,036015265991981	534,375	0,0276418060596321	534,375	0,0220703424231461	990,625	0,024389902950793													
537,5	0,365873920558992	993,75	0,301069602190279	993,75	0,031881666884703	537,5	0,0271312846810751	537,5	0,0216221868557395	993,75	0,0200153001253633													
540,625	0,361702283138033	996,875	0,299884336793325	996,875	0,0315864482322102	540,625	0,0231359227870762	540,625	0,0182650839231728	996,875	0,0196349759765784													
543,75	0,366621199810969	1000	0,297907846256488	1000	0,0306546804658858	543,75	0,0281147586067159	543,75	0,0229221393879857	1000	0,0187098414633664													
546,875	0,352015047502465	1003,125	0,300573545049937	1003,125	0,0336902007816801	546,875	0,0185177055275734	546,875	0,0136050069287041	1003,125	0,0217492903422514													
550	0,354149512751492	1006,25	0,300907639325271	1006,25	0,0345961724884676	550	0,0227631748751599	550	0,0180057923277608	1006,25	0,0225301457145626													
553,125	0,355715729119664	1009,375	0,300836020824455	1009,375	0,0357049356409229	553,125	0,0290749826050364	553,125	0,0241841433930045	1009,375	0,0235886937732601													
556,25	0,348416842028743	1012,5	0,29933440938148	1012,5	0,0354720180789594	556,25	0,0218681189173109	556,25	0,0170361067300765	1012,5	0,0234539926340208													
559,375	0,355699823280757	1015,625	0,294738232724826	1015,625	0,0306469685128948	559,375	0,0323567119292265	559,375	0,0269165455879135	1015,625	0,0184802930734264													
