target,target_name,frequency_hz,parameter,base_sample_size,teacher_S1,teacher_ST,teacher_S1_ci_low,teacher_S1_ci_high,teacher_ST_ci_low,teacher_ST_ci_high,mlp_S1,mlp_ST,mlp_minus_teacher_S1,mlp_minus_teacher_ST
re,R_real,863.779527559055,lambda_prime,1024,0.00562935728447178,0.0129568509121259,-0.0505906094861786,0.0824804973738744,0.0107557033536313,0.0156862692045556,0.00725932278513086,0.0133520129971763,0.00162996550065908,0.000395162085050442
re,R_real,863.779527559055,k0_prime,1024,0.0711172168255255,0.0899714074634864,0.009903903490041,0.145041359456224,0.0808768419321318,0.103471850297748,0.0670221583951682,0.0907284031856821,-0.00409505843035729,0.000756995722195689
re,R_real,901.968503937008,sigma,1024,0.861194317138948,0.900477364475384,0.837791935735201,0.8766504047062,0.822254651685119,0.963283641335059,0.858185764225567,0.898887308740066,-0.00300855291338098,-0.0015900557353179
re,R_real,901.968503937008,alpha_infinity,1024,0.023748287271943,0.0393410582837363,-0.0310120940355449,0.118186148483459,0.0331496796919648,0.0473837025303552,0.0260770070175039,0.0404779411783247,0.00232871974556093,0.0011368828945884
re,R_real,901.968503937008,lambda,1024,0.00725146174967572,0.019879648769488,-0.0595581812507002,0.0881864565903967,0.0165697010802309,0.023305106015071,0.00856577061695663,0.0218700329806235,0.0013143088672809,0.00199038421113552
re,R_real,901.968503937008,lambda_prime,1024,0.00516523002561475,0.0115437091215759,-0.0525853394112887,0.0800658768520428,0.00957609720027217,0.0140936550740903,0.00778482783607382,0.0117821820303799,0.00261959781045906,0.000238472908803994
re,R_real,901.968503937008,k0_prime,1024,0.0583091375847657,0.075040485659207,-0.00259864638795992,0.130972245836534,0.0665811166906924,0.0866943140311589,0.0545937414734659,0.0758881525557691,-0.0037153961112999,0.000847666896562099
re,R_real,940.157480314961,sigma,1024,0.880807496237925,0.915973992669788,0.86146387217,0.894082449005681,0.837547682009282,0.9773305422777,0.8786464169844,0.915859869405014,-0.00216107925352538,-0.00011412326477378
re,R_real,940.157480314961,alpha_infinity,1024,0.021729670726472,0.0356405723001294,-0.03191748912924,0.115814780916784,0.0302852181469666,0.0422566089988798,0.0247967873622099,0.0367217751523115,0.00306711663573789,0.00108120285218212
re,R_real,940.157480314961,lambda,1024,0.00636173610456559,0.0166657693629158,-0.0571672949123647,0.0898262462431478,0.0142343496421468,0.0193810562336347,0.00702149402666441,0.0177984189784562,0.000659757922098825,0.0011326496155404
re,R_real,940.157480314961,lambda_prime,1024,0.00481718737114245,0.010286910528892,-0.0520757163329657,0.077920933756214,0.00857333165722533,0.012599512903041,0.00705049197764906,0.0107300772745545,0.00223330460650661,0.000443166745662521
re,R_real,940.157480314961,k0_prime,1024,0.0480685465943678,0.0628462796176834,-0.0122672739007785,0.119176655666744,0.0549081595941764,0.0729057631565697,0.0442722569840169,0.063924583108512,-0.00379628961035083,0.0010783034908286
