Frequency in Hz	Wool_97 Normalized Surface Impedance continuous Re	Frequency in Hz	Wool_97 Normalized Surface Impedance continuous Im	
1568,75	0,651229023933411	1568,75	-0,725254595279694	
1571,875	0,653781771659851	1571,875	-0,720258593559265	
1575	0,654520750045776	1575	-0,720543682575226	
1578,125	0,655763506889343	1578,125	-0,716795146465302	
1581,25	0,652796506881714	1581,25	-0,711913108825684	
1584,375	0,657168030738831	1584,375	-0,710774660110474	
1587,5	0,654281377792358	1587,5	-0,705208837985992	
1590,625	0,649919271469116	1590,625	-0,701364278793335	
1593,75	0,650610744953156	1593,75	-0,69771134853363	
1596,875	0,652351975440979	1596,875	-0,695055902004242	
1600	0,651150405406952	1600	-0,694265425205231	
1603,125	0,650053143501282	1603,125	-0,692157089710236	
1606,25	0,649421572685242	1606,25	-0,687786042690277	
1609,375	0,656747281551361	1609,375	-0,682964086532593	
1612,5	0,6579549908638	1612,5	-0,675657629966736	
1615,625	0,654876589775085	1615,625	-0,674297749996185	
1618,75	0,651497721672058	1618,75	-0,673574030399323	
1621,875	0,653441190719604	1621,875	-0,670570433139801	
1625	0,652262449264526	1625	-0,666204869747162	
1628,125	0,654224514961243	1628,125	-0,665307402610779	
1631,25	0,651837170124054	1631,25	-0,658974468708038	
1634,375	0,64997535943985	1634,375	-0,658716261386871	
1637,5	0,648235142230988	1637,5	-0,655518710613251	
1640,625	0,657568335533142	1640,625	-0,653524339199066	
1643,75	0,650140583515167	1643,75	-0,640771627426147	
1646,875	0,650493323802948	1646,875	-0,644732117652893	
1650	0,647853136062622	1650	-0,643400609493256	
1653,125	0,649788796901703	1653,125	-0,638281226158142	
1656,25	0,649660348892212	1656,25	-0,635772347450256	
1659,375	0,650059521198273	1659,375	-0,634449660778046	
1662,5	0,650689482688904	1662,5	-0,631156384944916	
1665,625	0,646123647689819	1665,625	-0,625779807567596	
1668,75	0,646858811378479	1668,75	-0,624104201793671	
1671,875	0,64583295583725	1671,875	-0,621229946613312	
1675	0,647948443889618	1675	-0,615267753601074	
1678,125	0,646133422851563	1678,125	-0,61073899269104	
1681,25	0,647364318370819	1681,25	-0,611716210842133	
1684,375	0,649932384490967	1684,375	-0,60177606344223	
1687,5	0,648786962032318	1687,5	-0,59997695684433	
1690,625	0,649651169776917	1690,625	-0,597476601600647	
1693,75	0,653092920780182	1693,75	-0,594728648662567	
1696,875	0,647999048233032	1696,875	-0,590840458869934	
1700	0,64877450466156	1700	-0,588479399681091	
1703,125	0,647140085697174	1703,125	-0,587173104286194	
1706,25	0,647535264492035	1706,25	-0,583176016807556	
1709,375	0,648498833179474	1709,375	-0,577233552932739	
1712,5	0,64868688583374	1712,5	-0,575858652591705	
1715,625	0,648729503154755	1715,625	-0,572012484073639	
