target,target_name,segment,lower_hz,upper_hz,parameter,functional_S1,functional_ST,functional_ST_minus_S1,mean_pointwise_S1,mean_pointwise_ST,max_pointwise_ST,peak_ST_frequency_hz
im,R_imag,high_1650_2000,1650,2000,alpha_infinity,0.36141198627754,0.525992411139605,0.164580424862065,0.368331914303896,0.537274914889334,0.635866973779681,1665.74803149606
im,R_imag,high_1650_2000,1650,2000,lambda,0.10307240583977,0.176142320422132,0.0730699145823613,0.107176213575164,0.184375223030206,0.274130383711748,1665.74803149606
im,R_imag,high_1650_2000,1650,2000,lambda_prime,0.00334794956544004,0.00446209879883206,0.00111414923339201,0.00335306355380944,0.00465007805417483,0.00675216734343669,1665.74803149606
im,R_imag,high_1650_2000,1650,2000,k0_prime,0.00833153533298248,0.0241620436647449,0.0158305083317624,0.00892603839196158,0.0255778857032958,0.0412269161511765,1665.74803149606
im,R_imag,upperlow_2000_3000,2000,3000,sigma,0.794149831838282,0.858628899612592,0.0644790677743101,0.782404865174745,0.850287490680978,0.946626296956841,2964.17322834646
im,R_imag,upperlow_2000_3000,2000,3000,alpha_infinity,0.117115137696935,0.17348437809173,0.0563692403947945,0.124440796199031,0.183294208651222,0.393296787219197,2009.44881889764
im,R_imag,upperlow_2000_3000,2000,3000,lambda,0.0127985281272485,0.0514139718885825,0.038615443761334,0.014726917156414,0.0528368595463953,0.0970943573710414,2009.44881889764
im,R_imag,upperlow_2000_3000,2000,3000,lambda_prime,0.00076253704409146,0.00177849247008261,0.00101595542599115,0.000861114336647578,0.00180004194650511,0.00278682533080679,2009.44881889764
im,R_imag,upperlow_2000_3000,2000,3000,k0_prime,0.00226861532527189,0.00767093209713036,0.00540231677185846,0.00226534504266477,0.00773625649143811,0.0115580134511444,2009.44881889764
im,R_imag,uppermid_3000_4000,3000,4000,sigma,0.756666056223089,0.951065352792521,0.194399296569432,0.717146755331639,0.948490161078511,0.958918129977553,3269.68503937008
im,R_imag,uppermid_3000_4000,3000,4000,alpha_infinity,0.0129747428053356,0.157241471897016,0.14426672909168,0.0138093255842427,0.191110324716289,0.432841443569604,3995.27559055118
im,R_imag,uppermid_3000_4000,3000,4000,lambda,0.00510299296844952,0.0896330814064437,0.0845300884379942,0.00584206559636515,0.0954870886048908,0.130213159779488,3995.27559055118
im,R_imag,uppermid_3000_4000,3000,4000,lambda_prime,0.00251256186571669,0.00541382078104626,0.00290125891532957,0.00333937379815768,0.00608703505417604,0.00980196127171107,3995.27559055118
im,R_imag,uppermid_3000_4000,3000,4000,k0_prime,0.00843240305704862,0.0212085170276171,0.0127761139705685,0.00938452666689295,0.0240231197820836,0.042940703932454,3995.27559055118
im,R_imag,upperhigh_4000_4950,4000,4950,sigma,0.251524733164253,0.71659903139137,0.465074298227117,0.231341723527516,0.689941236405017,0.918515899669791,4033.46456692913
im,R_imag,upperhigh_4000_4950,4000,4950,alpha_infinity,0.0834985783287298,0.615955231244583,0.532456652915854,0.0913289222260072,0.629707854178149,0.696136945542117,4529.92125984252
im,R_imag,upperhigh_4000_4950,4000,4950,lambda,0.0486287870512293,0.269302505969623,0.220673718918394,0.0550418284763974,0.286987065721145,0.396663565131803,4759.05511811024
im,R_imag,upperhigh_4000_4950,4000,4950,lambda_prime,0.00850223052918575,0.0164478336370777,0.00794560310789197,0.00834860907561883,0.017235520880992,0.0237170546698978,4873.62204724409
im,R_imag,upperhigh_4000_4950,4000,4950,k0_prime,0.0569540522193962,0.0955325666043367,0.0385785143849405,0.0618487838016697,0.101378190174498,0.133363989582015,4759.05511811024
