target,target_name,frequency_hz,parameter,base_sample_size,S1,ST,ST_minus_S1,S1_ci_low,S1_ci_high,ST_ci_low,ST_ci_high,output_variance
re,R_real,940.157480314961,alpha_infinity,4096,0.023116103093257,0.0364593447803062,0.0133432416870493,-0.0106604669681127,0.0545258663058429,0.0338187669557022,0.0397140410419094,0.010097841921791
re,R_real,940.157480314961,lambda,4096,0.00798417792349715,0.0177446643056296,0.00976048638213244,-0.0275925893371769,0.0400586210940445,0.0160785030081902,0.0197478879953247,0.010097841921791
re,R_real,940.157480314961,lambda_prime,4096,0.00509188771248104,0.0106429380406849,0.00555105032820389,-0.027261076100904,0.0390754096127373,0.00971924287435489,0.0115827138907046,0.010097841921791
re,R_real,940.157480314961,k0_prime,4096,0.0454575493142064,0.0628869997034765,0.01742945038927,0.0132450233830592,0.0769809367170319,0.0582886989194468,0.0678462441145931,0.010097841921791
re,R_real,978.346456692913,sigma,4096,0.894972858482299,0.926423933963901,0.0314510754816022,0.886685704846895,0.90068473853684,0.892147602974473,0.964798173572124,0.0115268247087119
re,R_real,978.346456692913,alpha_infinity,4096,0.0218857217488423,0.0328553904691879,0.0109696687203456,-0.0118946489986951,0.0539845887813447,0.0300740421976102,0.0358054951666733,0.0115268247087119
re,R_real,978.346456692913,lambda,4096,0.00734066574214043,0.0149815343039378,0.00764086856179737,-0.0292084623367075,0.0393399366300987,0.0135739340137499,0.0165679031409699,0.0115268247087119
re,R_real,978.346456692913,lambda_prime,4096,0.00538429908418869,0.00946494222702712,0.00408064314283843,-0.0269973561192638,0.0387585887000066,0.00867584368265275,0.0103298484731171,0.0115268247087119
re,R_real,978.346456692913,k0_prime,4096,0.0374418735309998,0.0525160777850993,0.0150742042540995,0.00481258648418348,0.0699312808255562,0.0487820760255599,0.0568506578053545,0.0115268247087119
re,R_real,1016.53543307087,sigma,4096,0.909436303254275,0.93749908179707,0.0280627785427945,0.90212790060911,0.914356045428344,0.902875748631577,0.975572797206545,0.0129387099716505
re,R_real,1016.53543307087,alpha_infinity,4096,0.0198399539388456,0.0297386752461826,0.009898721307337,-0.0141094500133199,0.0515807011381839,0.0271440710198573,0.0322815169862441,0.0129387099716505
re,R_real,1016.53543307087,lambda,4096,0.00606177428248866,0.0121235434675162,0.00606176918502752,-0.0307403724380637,0.038587519406115,0.0110616072259805,0.0132463964091903,0.0129387099716505
re,R_real,1016.53543307087,lambda_prime,4096,0.00460872144280833,0.00830814699132536,0.00369942554851703,-0.0281974996261782,0.0383519751681846,0.00757346803596987,0.0090616958374465,0.0129387099716505
re,R_real,1016.53543307087,k0_prime,4096,0.0319133873671628,0.0447511559268935,0.0128377685597307,-0.000675720232051757,0.0647162284692557,0.0414702821710842,0.0486084994096208,0.0129387099716505
re,R_real,1054.72440944882,sigma,4096,0.922192722020638,0.946000969192849,0.0238082471722111,0.916403496425716,0.926612695707689,0.913285212570349,0.987419221846447,0.0144292218267244
re,R_real,1054.72440944882,alpha_infinity,4096,0.0168007708959924,0.0258243845517425,0.00902361365575011,-0.0168243144231746,0.0505110351386255,0.023581424684184,0.0279975775306481,0.0144292218267244
re,R_real,1054.72440944882,lambda,4096,0.00538100541341258,0.0101528958651886,0.00477189045177601,-0.0310440046231302,0.0372106709049911,0.00930464303744181,0.0110300091950936,0.0144292218267244
re,R_real,1054.72440944882,lambda_prime,4096,0.0039209701409193,0.00743983997492164,0.00351886983400234,-0.0279607642318569,0.0355030818027448,0.00683594940779685,0.00813601682007147,0.0144292218267244
re,R_real,1054.72440944882,k0_prime,4096,0.0265015918950242,0.037865656572021,0.0113640646769968,-0.00667821495588172,0.0604109175238828,0.0347278288206991,0.0414471333403482,0.0144292218267244
re,R_real,1092.91338582677,sigma,4096,0.935767397381837,0.956111234525798,0.0203438371439613,0.931275762938398,0.939434992901328,0.924315670521788,0.999290719192506,0.0158454758086286
re,R_real,1092.91338582677,alpha_infinity,4096,0.0142889440757166,0.0227344549573561,0.00844551088163951,-0.0216142961572634,0.0481335600717774,0.0205061588262631,0.0247937069660174,0.0158454758086286
re,R_real,1092.91338582677,lambda,4096,0.00483435519945308,0.00793063738860321,0.00309628218915014,-0.0288577075625296,0.0377318224910579,0.00725720471949621,0.00874167674015754,0.0158454758086286
re,R_real,1092.91338582677,lambda_prime,4096,0.00385888387420819,0.00666655341672978,0.0028076695425216,-0.0285097802890648,0.0351490070820719,0.00612424169094479,0.00724790359364793,0.0158454758086286
re,R_real,1092.91338582677,k0_prime,4096,0.0205227723844443,0.030543523476365,0.0100207510919206,-0.0140182147100476,0.0527786154650459,0.0278997438039573,0.0332981745995143,0.0158454758086286
re,R_real,1131.10236220472,sigma,4096,0.945331022927116,0.963711248023752,0.0183802250966361,0.941315947342244,0.948507288883733,0.932290705419685,1.00743539106637,0.0173377226401635
re,R_real,1131.10236220472,alpha_infinity,4096,0.0140154713845921,0.0202169758793896,0.00620150449479741,-0.0226774284511166,0.0483113313108172,0.0182567660912337,0.022003994528704,0.0173377226401635
re,R_real,1131.10236220472,lambda,4096,0.00410157249984822,0.00606313723351233,0.00196156473366411,-0.0301215199091722,0.0379223195569529,0.00554756550223819,0.00659489744318925,0.0173377226401635
re,R_real,1131.10236220472,lambda_prime,4096,0.00357229649289126,0.00607085636173924,0.00249855986884799,-0.0299971672583565,0.0351604730913277,0.00555541647349973,0.00667370112352201,0.0173377226401635
re,R_real,1131.10236220472,k0_prime,4096,0.0170117041288012,0.0259368568115136,0.00892515268271247,-0.0176521519911763,0.0505913368597399,0.0234149529430636,0.0284810285863543,0.0173377226401635
re,R_real,1169.29133858268,sigma,4096,0.953484932288351,0.968468797089998,0.0149838648016475,0.95016072972475,0.95610068778717,0.936941335174105,1.01298199627035,0.0188529449395612
re,R_real,1169.29133858268,alpha_infinity,4096,0.0116585410431039,0.0179528412441255,0.00629430020102155,-0.0248541162080331,0.046117206562892,0.0160900241057096,0.0196030407243916,0.0188529449395612
re,R_real,1169.29133858268,lambda,4096,0.00328079720342633,0.00513950270629955,0.00185870550287322,-0.0309357168732318,0.0372452916759837,0.00466710118549163,0.00555043291269107,0.0188529449395612
re,R_real,1169.29133858268,lambda_prime,4096,0.00291085452828854,0.00538414016266078,0.00247328563437224,-0.0308397720803035,0.0345127197671031,0.0049581963698472,0.00585354198480009,0.0188529449395612
re,R_real,1169.29133858268,k0_prime,4096,0.0141806526715494,0.0223715675491944,0.00819091487764496,-0.0213518829733947,0.047439966168743,0.0198116828023017,0.0248945988556515,0.0188529449395612
re,R_real,1207.48031496063,sigma,4096,0.960545306049038,0.973621105032839,0.0130757989838016,0.957537212129139,0.962908020138531,0.943295637350504,1.01951664490328,0.0200123190260673
re,R_real,1207.48031496063,alpha_infinity,4096,0.0102800413944945,0.0159456341298137,0.00566559273531924,-0.0266544485309754,0.0458115112282839,0.0143661098948837,0.0175816045901897,0.0200123190260673
re,R_real,1207.48031496063,lambda,4096,0.00333869571905887,0.00506371717769031,0.00172502145863144,-0.0319287123205212,0.0370956770429298,0.00452771817842093,0.00551280408084471,0.0200123190260673
