Frequency in Hz	Wool_94 Sound Reflection Factor continuous Re	Frequency in Hz	Wool_94 Sound Reflection Factor continuous Im	
1243,75	0,183413222432137	1243,75	-0,309241950511932	
1246,875	0,183819279074669	1246,875	-0,308129489421844	
1250	0,182378739118576	1250	-0,30621400475502	
1253,125	0,181509718298912	1253,125	-0,306668400764465	
1256,25	0,18004734814167	1256,25	-0,305328845977783	
1259,375	0,180918142199516	1259,375	-0,304658085107803	
1262,5	0,182003319263458	1262,5	-0,303884267807007	
1265,625	0,182256788015366	1265,625	-0,303428888320923	
1268,75	0,181376799941063	1268,75	-0,303392946720123	
1271,875	0,180471822619438	1271,875	-0,302085399627686	
1275	0,180216148495674	1275	-0,30179825425148	
1278,125	0,180326461791992	1278,125	-0,301447838544846	
1281,25	0,17999641597271	1281,25	-0,301560133695602	
1284,375	0,180734798312187	1284,375	-0,300775527954102	
1287,5	0,180501252412796	1287,5	-0,301204562187195	
1290,625	0,179549261927605	1290,625	-0,301448166370392	
1293,75	0,179288804531097	1293,75	-0,300023198127747	
1296,875	0,178028091788292	1296,875	-0,300195217132568	
1300	0,17855629324913	1300	-0,302164942026138	
1303,125	0,177638113498688	1303,125	-0,302425295114517	
1306,25	0,177396669983864	1306,25	-0,30186527967453	
1309,375	0,176217094063759	1309,375	-0,30238088965416	
1312,5	0,175145894289017	1312,5	-0,303658574819565	
1315,625	0,17482203245163	1315,625	-0,304861813783646	
1318,75	0,172364071011543	1318,75	-0,304657280445099	
1321,875	0,171382039785385	1321,875	-0,304702192544937	
1325	0,16902457177639	1325	-0,306254029273987	
1328,125	0,165954142808914	1328,125	-0,308889150619507	
1331,25	0,163175836205482	1331,25	-0,308637976646423	
1334,375	0,158152401447296	1334,375	-0,310557216405869	
1337,5	0,156229987740517	1337,5	-0,310015112161636	
1340,625	0,151839628815651	1340,625	-0,308402717113495	
1343,75	0,148666024208069	1343,75	-0,308241277933121	
1346,875	0,143701240420341	1346,875	-0,305890947580338	
1350	0,13861808180809	1350	-0,305129587650299	
1353,125	0,135486617684364	1353,125	-0,303703963756561	
1356,25	0,128441855311394	1356,25	-0,301478296518326	
1359,375	0,12705534696579	1359,375	-0,296011209487915	
1362,5	0,123700678348541	1362,5	-0,291539341211319	
1365,625	0,120899125933647	1365,625	-0,288107842206955	
1368,75	0,119725324213505	1368,75	-0,284010291099548	
1371,875	0,116588532924652	1371,875	-0,279054164886475	
1375	0,114251904189587	1375	-0,276106953620911	
1378,125	0,113980121910572	1378,125	-0,273039370775223	
1381,25	0,111780472099781	1381,25	-0,267089754343033	
1384,375	0,111841879785061	1384,375	-0,263712644577026	
1387,5	0,113099411129951	1387,5	-0,259958773851395	
1390,625	0,114117436110973	1390,625	-0,256185263395309	
1393,75	0,114256985485554	1393,75	-0,252714455127716	
1396,875	0,114294163882732	1396,875	-0,249860405921936	
1400	0,115644447505474	1400	-0,246346086263657	
1403,125	0,115650504827499	1403,125	-0,244032964110374	
1406,25	0,115414500236511	1406,25	-0,24186809360981	
1409,375	0,11567897349596	1409,375	-0,239082381129265	
1412,5	0,117062225937843	1412,5	-0,237129852175713	
1415,625	0,117165729403496	1415,625	-0,235112816095352	
1418,75	0,117900878190994	1418,75	-0,233155608177185	
1421,875	0,118940852582455	1421,875	-0,230930373072624	
1425	0,119452223181725	1425	-0,229302823543549	
1428,125	0,119088634848595	1428,125	-0,227228179574013	
1431,25	0,120194368064404	1431,25	-0,225825279951096	
1434,375	0,120743297040462	1434,375	-0,224057614803314	
1437,5	0,121107332408428	1437,5	-0,221607774496078	
1440,625	0,122856892645359	1440,625	-0,221004486083984	
1443,75	0,12114567309618	1443,75	-0,218982249498367	
1446,875	0,122546851634979	1446,875	-0,217361852526665	
1450	0,122828379273415	1450	-0,215436711907387	
1453,125	0,1231290102005	1453,125	-0,214083433151245	
1456,25	0,123148620128632	1456,25	-0,212953940033913	
1459,375	0,12392932921648	1459,375	-0,21151939034462	
1462,5	0,124511428177357	1462,5	-0,209534928202629	
1465,625	0,124539323151112	1465,625	-0,208681538701057	
1468,75	0,124278753995895	1468,75	-0,206916034221649	
1471,875	0,124445252120495	1471,875	-0,205983117222786	
1475	0,125352039933205	1475	-0,20533949136734	
1478,125	0,125159099698067	1478,125	-0,2039814889431	
1481,25	0,125981241464615	1481,25	-0,202353164553642	
1484,375	0,125449150800705	1484,375	-0,200577557086945	
1487,5	0,125601515173912	1487,5	-0,200511053204536	
1490,625	0,125853821635246	1490,625	-0,199235320091248	
1493,75	0,125958427786827	1493,75	-0,198385640978813	
1496,875	0,127041861414909	1496,875	-0,197448432445526	
1500	0,126293316483498	1500	-0,195695742964745	
1503,125	0,126449599862099	1503,125	-0,194027066230774	
1506,25	0,127231016755104	1506,25	-0,192783236503601	
1509,375	0,126329362392426	1509,375	-0,192171186208725	
1512,5	0,126756310462952	1512,5	-0,191006779670715	
1515,625	0,126786857843399	1515,625	-0,190119653940201	
1518,75	0,127237007021904	1518,75	-0,188553839921951	
1521,875	0,128202930092812	1521,875	-0,188016355037689	
1525	0,126350983977318	1525	-0,187318682670593	
1528,125	0,127250164747238	1528,125	-0,185121685266495	
1531,25	0,127803444862366	1531,25	-0,184516027569771	
1534,375	0,127770721912384	1534,375	-0,182982370257378	
1537,5	0,127186685800552	1537,5	-0,182806253433228	
1540,625	0,127731591463089	1540,625	-0,181533738970757	
1543,75	0,126851737499237	1543,75	-0,180398613214493	
1546,875	0,127717584371567	1546,875	-0,178994163870811	
1550	0,127310276031494	1550	-0,177812531590462	
1553,125	0,12762825191021	1553,125	-0,177093714475632	
1556,25	0,127467319369316	1556,25	-0,175917506217957	
1559,375	0,128000155091286	1559,375	-0,175234884023666	
1562,5	0,128157258033752	1562,5	-0,174454867839813	
1565,625	0,127579733729362	1565,625	-0,172505021095276	
1568,75	0,127671405673027	1568,75	-0,172539696097374	
