Frequency in Hz	Wool_95 Normalized Surface Impedance continuous Re	Frequency in Hz	Wool_95 Normalized Surface Impedance continuous Im	
956,25	0,785438716411591	956,25	-1,22480869293213	
959,375	0,78802490234375	959,375	-1,21807515621185	
962,5	0,787769138813019	962,5	-1,21215033531189	
965,625	0,791104197502136	965,625	-1,20783972740173	
968,75	0,792097747325897	968,75	-1,20744359493256	
971,875	0,795770585536957	971,875	-1,19789338111877	
975	0,79952484369278	975	-1,19513309001923	
978,125	0,801596224308014	978,125	-1,19070839881897	
981,25	0,805097103118896	981,25	-1,18346858024597	
984,375	0,804058909416199	984,375	-1,18084645271301	
987,5	0,805977582931519	987,5	-1,17703354358673	
990,625	0,809005796909332	990,625	-1,17364597320557	
993,75	0,805382966995239	993,75	-1,16851460933685	
996,875	0,80759871006012	996,875	-1,16589725017548	
1000	0,806090712547302	1000	-1,16068911552429	
1003,125	0,809371769428253	1003,125	-1,1574934720993	
1006,25	0,810348212718964	1006,25	-1,15321886539459	
1009,375	0,809110343456268	1009,375	-1,14752554893494	
1012,5	0,810034930706024	1012,5	-1,14568519592285	
1015,625	0,808135509490967	1015,625	-1,14390444755554	
1018,75	0,804517567157745	1018,75	-1,13357281684875	
1021,875	0,805935263633728	1021,875	-1,13240492343903	
1025	0,804351449012756	1025	-1,12435114383698	
1028,125	0,803010225296021	1028,125	-1,12089788913727	
1031,25	0,799121856689453	1031,25	-1,11900520324707	
1034,375	0,796836853027344	1034,375	-1,11008858680725	
1037,5	0,796195447444916	1037,5	-1,10298562049866	
1040,625	0,792668581008911	1040,625	-1,09497511386871	
1043,75	0,792900383472443	1043,75	-1,08909690380096	
1046,875	0,794302463531494	1046,875	-1,08115553855896	
1050	0,790504395961761	1050	-1,06909000873566	
1053,125	0,788488864898682	1053,125	-1,06299650669098	
1056,25	0,791749000549316	1056,25	-1,05153918266296	
1059,375	0,793406784534454	1059,375	-1,04775834083557	
1062,5	0,793814718723297	1062,5	-1,0407167673111	
1065,625	0,795042157173157	1065,625	-1,02815270423889	
1068,75	0,802086591720581	1068,75	-1,0246821641922	
1071,875	0,805187702178955	1071,875	-1,01779580116272	
1075	0,805826842784882	1075	-1,01325535774231	
1078,125	0,804356634616852	1078,125	-1,00729739665985	
1081,25	0,813157856464386	1081,25	-0,995921909809113	
1084,375	0,813371419906616	1084,375	-0,993913769721985	
1087,5	0,815479218959808	1087,5	-0,989084303379059	
1090,625	0,818889379501343	1090,625	-0,985409080982208	
1093,75	0,819475591182709	1093,75	-0,979908525943756	
1096,875	0,823221266269684	1096,875	-0,972586929798126	
1100	0,824906647205353	1100	-0,967235147953033	
1103,125	0,825182676315308	1103,125	-0,962178766727448	
1106,25	0,831304907798767	1106,25	-0,960285663604736	
1109,375	0,827921152114868	1109,375	-0,952917158603668	
1112,5	0,829181492328644	1112,5	-0,952446699142456	
1115,625	0,835675179958344	1115,625	-0,945747554302216	
1118,75	0,830820143222809	1118,75	-0,942699015140533	
1121,875	0,835065603256226	1121,875	-0,941028833389282	
1125	0,833938539028168	1125	-0,936097681522369	
1128,125	0,833405792713165	1128,125	-0,931232511997223	
1131,25	0,837925434112549	1131,25	-0,921451389789581	
1134,375	0,839967548847198	1134,375	-0,921288132667542	
1137,5	0,837616801261902	1137,5	-0,920185625553131	
1140,625	0,83766108751297	1140,625	-0,910529792308807	
1143,75	0,841180264949799	1143,75	-0,909379541873932	
1146,875	0,841777503490448	1146,875	-0,903691530227661	
1150	0,845447897911072	1150	-0,895568132400513	
1153,125	0,847557604312897	1153,125	-0,895054280757904	
1156,25	0,844673216342926	1156,25	-0,895428836345673	
1159,375	0,844123065471649	1159,375	-0,887501895427704	
1162,5	0,8490971326828	1162,5	-0,88678103685379	
1165,625	0,84966653585434	1165,625	-0,879675686359406	
1168,75	0,849914789199829	1168,75	-0,877019464969635	
1171,875	0,848344385623932	1171,875	-0,87358570098877	
1175	0,849652409553528	1175	-0,867576241493225	
1178,125	0,850819289684296	1178,125	-0,864184260368347	
1181,25	0,852496206760406	1181,25	-0,862883508205414	
1184,375	0,854011595249176	1184,375	-0,855636656284332	
1187,5	0,853785455226898	1187,5	-0,849531769752502	
1190,625	0,855798959732056	1190,625	-0,847024738788605	
