Frequency in Hz	Silk_92_LF Sound Reflection Factor continuous Re	Frequency in Hz	Silk_92_HF Sound Reflection Factor continuous Re	Frequency in Hz	Silk_92_LF Sound Reflection Factor continuous Im	Frequency in Hz	Silk_92_HF Sound Reflection Factor continuous Im	
537,5	0,734110713005066	993,75	0,707450270652771	537,5	-0,12575201690197	993,75	-0,0179428029805422	
540,625	0,736780285835266	996,875	0,704009473323822	540,625	-0,125641345977783	996,875	-0,016723008826375	
543,75	0,734064519405365	1000	0,703708171844482	543,75	-0,130493938922882	1000	-0,0169614125043154	
546,875	0,729174673557281	1003,125	0,704249262809753	546,875	-0,128165990114212	1003,125	-0,015871224924922	
550	0,732760190963745	1006,25	0,702273547649384	550	-0,132098615169525	1006,25	-0,0158192366361618	
553,125	0,734107553958893	1009,375	0,702771604061127	553,125	-0,125758036971092	1009,375	-0,0154589023441076	
556,25	0,726212561130524	1012,5	0,704003989696503	556,25	-0,131936997175217	1012,5	-0,0157138574868441	
559,375	0,726765930652618	1015,625	0,69926917552948	559,375	-0,128881424665451	1015,625	-0,0141194304451346	
562,5	0,731926620006561	1018,75	0,701639473438263	562,5	-0,130639463663101	1018,75	-0,0179551970213652	
565,625	0,735009133815765	1021,875	0,701912045478821	565,625	-0,127592250704765	1021,875	-0,0147975077852607	
568,75	0,727821230888367	1025	0,702313661575317	568,75	-0,128949984908104	1025	-0,0159938354045153	
571,875	0,726465284824371	1028,125	0,701093554496765	571,875	-0,127641588449478	1028,125	-0,0145877553150058	
575	0,729065954685211	1031,25	0,70209538936615	575	-0,1293133944273	1031,25	-0,014635955914855	
578,125	0,731233417987823	1034,375	0,701977074146271	578,125	-0,12838576734066	1034,375	-0,013425157405436	
581,25	0,727742373943329	1037,5	0,701253056526184	581,25	-0,125378161668777	1037,5	-0,016050398349762	
584,375	0,728768825531006	1040,625	0,700715482234955	584,375	-0,13007877767086	1040,625	-0,0147777702659369	
587,5	0,729381442070007	1043,75	0,699727535247803	587,5	-0,127009943127632	1043,75	-0,0147943617776036	
590,625	0,729774355888367	1046,875	0,701016783714294	590,625	-0,127572029829025	1046,875	-0,0129645066335797	
593,75	0,729099750518799	1050	0,700381994247437	593,75	-0,129372745752335	1050	-0,014418812468648	
596,875	0,729268848896027	1053,125	0,70258504152298	596,875	-0,127454206347466	1053,125	-0,0132267102599144	
600	0,731285750865936	1056,25	0,702278971672058	600	-0,124950841069221	1056,25	-0,014871820807457	
603,125	0,729136645793915	1059,375	0,699246168136597	603,125	-0,129484251141548	1059,375	-0,0128803476691246	
606,25	0,727128386497498	1062,5	0,699944138526917	606,25	-0,126091569662094	1062,5	-0,0118440296500921	
609,375	0,723651885986328	1065,625	0,700488805770874	609,375	-0,129209116101265	1065,625	-0,0145484618842602	
612,5	0,724756717681885	1068,75	0,699223697185516	612,5	-0,126708492636681	1068,75	-0,013422722928226	
615,625	0,722728252410889	1071,875	0,699520111083984	615,625	-0,127069115638733	1071,875	-0,0124250566586852	
618,75	0,725078940391541	1075	0,6984903216362	618,75	-0,127334907650948	1075	-0,0128637524321675	
