Frequency in Hz	Silk_95 Normalized Surface Impedance continuous Re	Frequency in Hz	Silk_95 Normalized Surface Impedance continuous Im	
1393,75	2,64410519599915	1393,75	-0,093121238052845	
1396,875	2,64949679374695	1396,875	-0,0972138196229935	
1400	2,65659546852112	1400	-0,0963806658983231	
1403,125	2,6672945022583	1403,125	-0,097562201321125	
1406,25	2,67287492752075	1406,25	-0,102406725287437	
1409,375	2,67696905136108	1409,375	-0,104309767484665	
1412,5	2,67822051048279	1412,5	-0,0992979854345322	
1415,625	2,68254399299622	1415,625	-0,109424442052841	
1418,75	2,69308304786682	1418,75	-0,110445581376553	
1421,875	2,69582843780518	1421,875	-0,107174508273602	
1425	2,70243501663208	1425	-0,106682844460011	
1428,125	2,71259474754334	1428,125	-0,12077321857214	
1431,25	2,71270799636841	1431,25	-0,116661638021469	
1434,375	2,71623420715332	1434,375	-0,120128728449345	
1437,5	2,71379065513611	1437,5	-0,12691767513752	
1440,625	2,72763919830322	1440,625	-0,119783997535706	
1443,75	2,72598171234131	1443,75	-0,143768474459648	
1446,875	2,72556471824646	1446,875	-0,132367625832558	
1450	2,72516465187073	1450	-0,136323124170303	
1453,125	2,72518944740295	1453,125	-0,138975784182549	
1456,25	2,72809076309204	1456,25	-0,147753268480301	
1459,375	2,72770595550537	1459,375	-0,14567431807518	
1462,5	2,72432041168213	1462,5	-0,143280670046806	
1465,625	2,73425126075745	1465,625	-0,144592195749283	
1468,75	2,73001098632813	1468,75	-0,15636333823204	
1471,875	2,73284506797791	1471,875	-0,158188968896866	
1475	2,73852729797363	1475	-0,15265192091465	
1478,125	2,73629117012024	1478,125	-0,157806515693665	
1481,25	2,73412036895752	1481,25	-0,152216821908951	
1484,375	2,73219752311707	1484,375	-0,164271950721741	
1487,5	2,74592304229736	1487,5	-0,165067076683044	
1490,625	2,74310731887817	1490,625	-0,164210289716721	
1493,75	2,74771189689636	1493,75	-0,166987210512161	
1496,875	2,75438213348389	1496,875	-0,157967865467072	
1500	2,74829626083374	1500	-0,175356313586235	
1503,125	2,74589037895203	1503,125	-0,173384055495262	
1506,25	2,74564290046692	1506,25	-0,163218691945076	
1509,375	2,75142502784729	1509,375	-0,179942205548286	
1512,5	2,75117182731628	1512,5	-0,179507493972778	
1515,625	2,75572443008423	1515,625	-0,17969086766243	
1518,75	2,74802827835083	1518,75	-0,177004933357239	
1521,875	2,75467014312744	1521,875	-0,17167840898037	
1525	2,75820803642273	1525	-0,190252125263214	
1528,125	2,74695873260498	1528,125	-0,183371841907501	
1531,25	2,75098848342896	1531,25	-0,185467332601547	
1534,375	2,74584794044495	1534,375	-0,18515445291996	
1537,5	2,75200176239014	1537,5	-0,193233028054237	
1540,625	2,75081515312195	1540,625	-0,184854820370674	
1543,75	2,74696636199951	1543,75	-0,204455554485321	
1546,875	2,74863982200623	1546,875	-0,193531468510628	
1550	2,7475278377533	1550	-0,202039405703545	
1553,125	2,7513222694397	1553,125	-0,197488099336624	
1556,25	2,74514579772949	1556,25	-0,200992226600647	
1559,375	2,74784684181213	1559,375	-0,203039467334747	
1562,5	2,74815273284912	1562,5	-0,204600945115089	
1565,625	2,7338330745697	1565,625	-0,205465391278267	
1568,75	2,74231576919556	1568,75	-0,210822835564613	
1571,875	2,73589038848877	1571,875	-0,214903146028519	
1575	2,73851799964905	1575	-0,210429236292839	
1578,125	2,73582649230957	1578,125	-0,216567233204842	
1581,25	2,73977971076965	1581,25	-0,22366327047348	
1584,375	2,73034477233887	1584,375	-0,211626574397087	
1587,5	2,73104429244995	1587,5	-0,219807028770447	
1590,625	2,73593378067017	1590,625	-0,226120069622993	
1593,75	2,73090934753418	1593,75	-0,232038050889969	
1596,875	2,7235906124115	1596,875	-0,226372972130775	
1600	2,72191381454468	1600	-0,227148100733757	
1603,125	2,71968579292297	1603,125	-0,228832364082336	
1606,25	2,71973204612732	1606,25	-0,230511337518692	
1609,375	2,69755673408508	1609,375	-0,225014314055443	
