Frequency in Hz	Acrylic_96 Sound Reflection Factor continuous Re	Frequency in Hz	Acrylic_96 Sound Reflection Factor continuous Im	
1403,125	0,108138561248779	1403,125	-0,290722072124481	
1406,25	0,107780382037163	1406,25	-0,28879788517952	
1409,375	0,10614313185215	1409,375	-0,286964505910873	
1412,5	0,106479331851006	1412,5	-0,286663383245468	
1415,625	0,105551518499851	1415,625	-0,285313218832016	
1418,75	0,103913716971874	1418,75	-0,283875197172165	
1421,875	0,103515319526196	1421,875	-0,284394830465317	
1425	0,103305570781231	1425	-0,281932532787323	
1428,125	0,102667830884457	1428,125	-0,27925705909729	
1431,25	0,102305300533772	1431,25	-0,278091549873352	
1434,375	0,100929908454418	1434,375	-0,276873052120209	
1437,5	0,101257607340813	1437,5	-0,275264739990234	
1440,625	0,100411832332611	1440,625	-0,274123281240463	
1443,75	0,0993419215083122	1443,75	-0,272699356079102	
1446,875	0,0982345715165138	1446,875	-0,271765559911728	
1450	0,0980015397071838	1450	-0,269696325063705	
1453,125	0,0980228334665298	1453,125	-0,268307387828827	
1456,25	0,0963795408606529	1456,25	-0,267098873853683	
1459,375	0,0971432253718376	1459,375	-0,267596006393433	
1462,5	0,095366433262825	1462,5	-0,264512658119202	
1465,625	0,0944108217954636	1465,625	-0,263293266296387	
1468,75	0,0934570357203484	1468,75	-0,262494564056396	
1471,875	0,0923822820186615	1471,875	-0,261125087738037	
1475	0,0934786051511765	1475	-0,26016753911972	
1478,125	0,0933547765016556	1478,125	-0,259138405323029	
1481,25	0,0914912298321724	1481,25	-0,258696794509888	
1484,375	0,0904483869671822	1484,375	-0,256695032119751	
1487,5	0,0904300436377525	1487,5	-0,255504459142685	
1490,625	0,0891913250088692	1490,625	-0,253686159849167	
1493,75	0,0895376726984978	1493,75	-0,251916378736496	
1496,875	0,0881049484014511	1496,875	-0,251862168312073	
1500	0,0868295505642891	1500	-0,251280546188354	
1503,125	0,0871671065688133	1503,125	-0,249391138553619	
1506,25	0,0865200534462929	1506,25	-0,245540097355843	
1509,375	0,0851324796676636	1509,375	-0,245064362883568	
1512,5	0,0844583287835121	1512,5	-0,245254516601563	
1515,625	0,0838653519749641	1515,625	-0,244161263108253	
1518,75	0,0824823155999184	1518,75	-0,242781490087509	
1521,875	0,0824047401547432	1521,875	-0,241967484354973	
1525	0,0802009776234627	1525	-0,240821242332458	
1528,125	0,079994335770607	1528,125	-0,238442435860634	
1531,25	0,079899825155735	1531,25	-0,237535074353218	
1534,375	0,0791462436318398	1534,375	-0,235268920660019	
1537,5	0,0785984396934509	1537,5	-0,234477952122688	
1540,625	0,0780926868319511	1540,625	-0,233943939208984	
1543,75	0,0772819519042969	1543,75	-0,231680437922478	
1546,875	0,0764432176947594	1546,875	-0,229712575674057	
1550	0,075603224337101	1550	-0,229139819741249	
1553,125	0,0753949359059334	1553,125	-0,226932272315025	
1556,25	0,0754103139042854	1556,25	-0,227366030216217	
1559,375	0,0736851319670677	1559,375	-0,224698185920715	
1562,5	0,0740835294127464	1562,5	-0,223246425390244	
1565,625	0,0736665278673172	1565,625	-0,221675932407379	
1568,75	0,0731687396764755	1568,75	-0,219705626368523	
1571,875	0,0726228356361389	1571,875	-0,218884617090225	
1575	0,0721159428358078	1575	-0,218326613306999	
1578,125	0,0718993619084358	1578,125	-0,216331839561462	
1581,25	0,0702973306179047	1581,25	-0,215006217360497	
1584,375	0,070551410317421	1584,375	-0,213685378432274	
1587,5	0,0703525692224503	1587,5	-0,212357506155968	
1590,625	0,0700905695557594	1590,625	-0,212171658873558	
1593,75	0,0698454082012177	1593,75	-0,210991233587265	
1596,875	0,0683433637022972	1596,875	-0,209629058837891	
1600	0,068618044257164	1600	-0,208403900265694	
1603,125	0,0680053308606148	1603,125	-0,206681728363037	
1606,25	0,0682711154222488	1606,25	-0,206376820802689	
1609,375	0,0657301619648933	1609,375	-0,204298317432404	
1612,5	0,0660150200128555	1612,5	-0,203047543764114	
1615,625	0,0658745840191841	1615,625	-0,201600432395935	
1618,75	0,0639957264065742	1618,75	-0,200504943728447	
1621,875	0,0650418624281883	1621,875	-0,200610458850861	
1625	0,0649103671312332	1625	-0,198622092604637	
1628,125	0,0642768070101738	1628,125	-0,197454646229744	
1631,25	0,062567837536335	1631,25	-0,195202320814133	
1634,375	0,0620936565101147	1634,375	-0,195583611726761	
1637,5	0,0613609217107296	1637,5	-0,19344362616539	
1640,625	0,0610693842172623	1640,625	-0,195406422019005	
