Frequency in Hz	Wool_96 Sound Reflection Factor continuous Re	Frequency in Hz	Wool_96 Sound Reflection Factor continuous Im	
1106,25	0,268434286117554	1106,25	-0,487650960683823	
1109,375	0,264841854572296	1109,375	-0,489465534687042	
1112,5	0,265647858381271	1112,5	-0,489117652177811	
1115,625	0,263565212488174	1115,625	-0,485931813716888	
1118,75	0,262644201517105	1118,75	-0,489043474197388	
1121,875	0,262762308120728	1121,875	-0,486499518156052	
1125	0,260680705308914	1125	-0,487728744745255	
1128,125	0,260010927915573	1128,125	-0,488091111183167	
1131,25	0,255922138690948	1131,25	-0,486182272434235	
1134,375	0,256831079721451	1134,375	-0,486061006784439	
1137,5	0,256830662488937	1137,5	-0,488991767168045	
1140,625	0,25126975774765	1140,625	-0,490204274654388	
1143,75	0,252510845661163	1143,75	-0,489435315132141	
1146,875	0,249889269471169	1146,875	-0,489842772483826	
1150	0,245122149586678	1150	-0,489089876413345	
1153,125	0,243939757347107	1153,125	-0,489219129085541	
1156,25	0,244465634226799	1156,25	-0,49371799826622	
1159,375	0,239467069506645	1159,375	-0,495739847421646	
1162,5	0,239431515336037	1162,5	-0,494318693876266	
1165,625	0,23299153149128	1165,625	-0,493697762489319	
1168,75	0,230709940195084	1168,75	-0,493705034255981	
1171,875	0,226499080657959	1171,875	-0,494513124227524	
1175	0,220223858952522	1175	-0,492762237787247	
1178,125	0,216977566480637	1178,125	-0,491936326026917	
1181,25	0,215347930788994	1181,25	-0,490780144929886	
1184,375	0,209292113780975	1184,375	-0,488938093185425	
1187,5	0,204387709498405	1187,5	-0,488001346588135	
1190,625	0,202609419822693	1190,625	-0,48498398065567	
1193,75	0,202858194708824	1193,75	-0,483583360910416	
1196,875	0,200416252017021	1196,875	-0,480110675096512	
1200	0,19401490688324	1200	-0,478144317865372	
1203,125	0,193608358502388	1203,125	-0,476041913032532	
1206,25	0,194411754608154	1206,25	-0,471764266490936	
1209,375	0,18856480717659	1209,375	-0,472370028495789	
1212,5	0,184259787201881	1212,5	-0,471517652273178	
1215,625	0,18546487390995	1215,625	-0,469634413719177	
1218,75	0,180798441171646	1218,75	-0,467910528182983	
1221,875	0,181515663862228	1221,875	-0,465781956911087	
1225	0,182262986898422	1225	-0,465512335300446	
1228,125	0,175843849778175	1228,125	-0,463622689247131	
1231,25	0,176727011799812	1231,25	-0,463501811027527	
1234,375	0,177107527852058	1234,375	-0,462797492742538	
1237,5	0,172998234629631	1237,5	-0,463213920593262	
1240,625	0,172055765986443	1240,625	-0,461462140083313	
1243,75	0,169617086648941	1243,75	-0,460683345794678	
1246,875	0,167617335915565	1246,875	-0,459261357784271	
1250	0,16456213593483	1250	-0,456673830747604	
1253,125	0,161887511610985	1253,125	-0,458131104707718	
1256,25	0,157074466347694	1256,25	-0,456232100725174	
1259,375	0,156245097517967	1259,375	-0,454334706068039	
1262,5	0,15558497607708	1262,5	-0,452537417411804	
1265,625	0,153433725237846	1265,625	-0,451477408409119	
1268,75	0,150283202528954	1268,75	-0,45032274723053	
1271,875	0,148064762353897	1271,875	-0,446976065635681	
1275	0,145742401480675	1275	-0,445998698472977	
1278,125	0,143506124615669	1278,125	-0,443423449993134	
1281,25	0,141720935702324	1281,25	-0,442966043949127	
1284,375	0,141794309020042	1284,375	-0,440661549568176	
1287,5	0,140348792076111	1287,5	-0,440135776996613	
1290,625	0,136794656515121	1290,625	-0,438040345907211	
1293,75	0,136642321944237	1293,75	-0,435100704431534	
1296,875	0,134084492921829	1296,875	-0,432416617870331	
1300	0,132970824837685	1300	-0,43369933962822	
1303,125	0,130800619721413	1303,125	-0,43283748626709	
1306,25	0,130533397197723	1306,25	-0,429509550333023	
1309,375	0,128801688551903	1309,375	-0,426649749279022	
1312,5	0,127076596021652	1312,5	-0,426088273525238	
1315,625	0,126385241746902	1315,625	-0,425894558429718	
1318,75	0,12441972643137	1318,75	-0,422144830226898	
1321,875	0,12457100301981	1321,875	-0,420453280210495	
1325	0,124073311686516	1325	-0,419535398483276	
1328,125	0,121466562151909	1328,125	-0,418753027915955	
1331,25	0,120228178799152	1331,25	-0,416297018527985	
1334,375	0,117170430719852	1334,375	-0,41619074344635	
1337,5	0,117525324225426	1337,5	-0,414309173822403	
1340,625	0,116324126720428	1340,625	-0,411713510751724	
1343,75	0,116370096802711	1343,75	-0,411132484674454	
1346,875	0,114396296441555	1346,875	-0,408524304628372	
1350	0,112670831382275	1350	-0,408342093229294	
1353,125	0,112825833261013	1353,125	-0,407857894897461	
1356,25	0,108892194926739	1356,25	-0,407546550035477	
1359,375	0,109262846410275	1359,375	-0,404295146465302	
1362,5	0,107687719166279	1362,5	-0,402581512928009	
1365,625	0,106505066156387	1365,625	-0,402379482984543	
1368,75	0,106287956237793	1368,75	-0,401066362857819	
1371,875	0,104125872254372	1371,875	-0,399827063083649	
1375	0,102690197527409	1375	-0,400632202625275	
1378,125	0,102334342896938	1378,125	-0,400257080793381	
1381,25	0,0979055091738701	1381,25	-0,398264646530151	
1384,375	0,0972671061754227	1384,375	-0,397811889648438	
1387,5	0,0974306836724281	1387,5	-0,395970463752747	
