Frequency in Hz	Acrylic_92 Sound Reflection Factor continuous Re	Frequency in Hz	Acrylic_92 Sound Reflection Factor continuous Im	
1431,25	0,233910888433456	1431,25	-0,0372865125536919	
1434,375	0,238393574953079	1434,375	-0,0342096611857414	
1437,5	0,241379663348198	1437,5	-0,0318329259753227	
1440,625	0,245614156126976	1440,625	-0,0294447913765907	
1443,75	0,248698353767395	1443,75	-0,0285827722400427	
1446,875	0,252258360385895	1446,875	-0,0267150346189737	
1450	0,255545049905777	1450	-0,0260387379676104	
1453,125	0,258501589298248	1453,125	-0,024485332891345	
1456,25	0,26179775595665	1456,25	-0,023768188431859	
1459,375	0,264873266220093	1459,375	-0,0216950159519911	
1462,5	0,267174243927002	1462,5	-0,021173732355237	
1465,625	0,269751489162445	1465,625	-0,0204896163195372	
1468,75	0,272361129522324	1468,75	-0,0193458516150713	
1471,875	0,275082916021347	1471,875	-0,019149849191308	
1475	0,277193784713745	1475	-0,0180397517979145	
1478,125	0,279632538557053	1478,125	-0,0174041390419006	
1481,25	0,282202154397964	1481,25	-0,0166777335107327	
1484,375	0,283898293972015	1484,375	-0,016547929495573	
1487,5	0,285676926374435	1487,5	-0,0162164475768805	
1490,625	0,287369579076767	1490,625	-0,0165108852088451	
1493,75	0,288814723491669	1493,75	-0,0151986917480826	
1496,875	0,290932685136795	1496,875	-0,0148549871519208	
1500	0,292492866516113	1500	-0,0149288391694427	
1503,125	0,2937952876091	1503,125	-0,0140361096709967	
1506,25	0,294093072414398	1506,25	-0,0142440674826503	
1509,375	0,296141117811203	1509,375	-0,0141121260821819	
1512,5	0,298235893249512	1512,5	-0,013402970507741	
1515,625	0,299720048904419	1515,625	-0,0130611294880509	
1518,75	0,301741033792496	1518,75	-0,0131114581599832	
1521,875	0,302996814250946	1521,875	-0,0125874374061823	
1525	0,30401822924614	1525	-0,0128450384363532	
1528,125	0,304730504751205	1528,125	-0,0123732760548592	
1531,25	0,306180417537689	1531,25	-0,0119920196011662	
1534,375	0,30754166841507	1534,375	-0,0122931580990553	
1537,5	0,308612257242203	1537,5	-0,0121654886752367	
1540,625	0,310263842344284	1540,625	-0,0122531205415726	
1543,75	0,311025559902191	1543,75	-0,0125343883410096	
1546,875	0,31200647354126	1546,875	-0,0125299813225865	
1550	0,31363633275032	1550	-0,0128185721114278	
1553,125	0,314140528440475	1553,125	-0,0131282368674874	
1556,25	0,315622240304947	1556,25	-0,0134750809520483	
1559,375	0,315578430891037	1559,375	-0,0146734658628702	
1562,5	0,31612691283226	1562,5	-0,0145751750096679	
1565,625	0,316023379564285	1565,625	-0,014579338952899	
1568,75	0,315802246332169	1568,75	-0,0148518895730376	
1571,875	0,316297233104706	1571,875	-0,0149173326790333	
1575	0,316876977682114	1575	-0,0152618130668998	
1578,125	0,316605299711227	1578,125	-0,0152308763936162	
1581,25	0,31623050570488	1581,25	-0,0156169878318906	
1584,375	0,315633207559586	1584,375	-0,0152770103886724	
1587,5	0,315537214279175	1587,5	-0,0151344211772084	
