Frequency in Hz	Silk_98 Normalized Surface Impedance continuous Re	Frequency in Hz	Silk_98 Normalized Surface Impedance continuous Im	
1509,375	0,983290374279022	1509,375	-0,480327814817429	
1512,5	0,985462069511414	1512,5	-0,475765317678452	
1515,625	0,986823320388794	1515,625	-0,472103089094162	
1518,75	0,991883218288422	1518,75	-0,467917323112488	
1521,875	0,994830846786499	1521,875	-0,465689837932587	
1525	0,994319200515747	1525	-0,459636360406876	
1528,125	1,00023829936981	1528,125	-0,455860316753387	
1531,25	1,00166583061218	1531,25	-0,453276067972183	
1534,375	1,00530111789703	1534,375	-0,449142217636108	
1537,5	1,00534093379974	1537,5	-0,446588754653931	
1540,625	1,00850141048431	1540,625	-0,445077806711197	
1543,75	1,00954365730286	1543,75	-0,438723564147949	
1546,875	1,01394426822662	1546,875	-0,437284976243973	
1550	1,01512944698334	1550	-0,433975040912628	
1553,125	1,01705431938171	1553,125	-0,43251833319664	
1556,25	1,01890504360199	1556,25	-0,427737802267075	
1559,375	1,02106738090515	1559,375	-0,426070719957352	
1562,5	1,02310526371002	1562,5	-0,424293607473373	
1565,625	1,02551877498627	1565,625	-0,419602185487747	
1568,75	1,02535736560822	1568,75	-0,418821215629578	
1571,875	1,02748811244965	1571,875	-0,415800750255585	
1575	1,02979207038879	1575	-0,41501373052597	
1578,125	1,03145575523376	1578,125	-0,412656962871552	
1581,25	1,0320360660553	1581,25	-0,409697204828262	
1584,375	1,03583741188049	1584,375	-0,407264083623886	
1587,5	1,03573298454285	1587,5	-0,403951019048691	
1590,625	1,03546702861786	1590,625	-0,401778489351273	
1593,75	1,03659451007843	1593,75	-0,400023519992828	
1596,875	1,03896832466125	1596,875	-0,397312253713608	
1600	1,03931069374084	1600	-0,39616733789444	
1603,125	1,03959476947784	1603,125	-0,39445036649704	
1606,25	1,040806889534	1606,25	-0,391511052846909	
1609,375	1,04453074932098	1609,375	-0,386736840009689	
1612,5	1,04430401325226	1612,5	-0,382686883211136	
1615,625	1,04361355304718	1615,625	-0,381745487451553	
1618,75	1,04300618171692	1618,75	-0,380828589200974	
1621,875	1,04527628421783	1621,875	-0,377534747123718	
1625	1,0447244644165	1625	-0,374573737382889	
1628,125	1,04660081863403	1628,125	-0,372922271490097	
1631,25	1,04540979862213	1631,25	-0,368210673332214	
1634,375	1,04583275318146	1634,375	-0,367221653461456	
1637,5	1,04506254196167	1637,5	-0,364090740680695	
1640,625	1,05071592330933	1640,625	-0,360131919384003	
1643,75	1,04727566242218	1643,75	-0,352758288383484	
1646,875	1,04976487159729	1646,875	-0,353416800498962	
1650	1,04923701286316	1650	-0,351422160863876	
1653,125	1,05073308944702	1653,125	-0,347570270299912	
1656,25	1,05187225341797	1656,25	-0,344732969999313	
1659,375	1,05351281166077	1659,375	-0,342005223035812	
1662,5	1,05408596992493	1662,5	-0,338460355997086	
1665,625	1,05289769172668	1665,625	-0,334587156772614	
1668,75	1,05570828914642	1668,75	-0,331445515155792	
1671,875	1,05671882629395	1671,875	-0,328371733427048	
1675	1,05829262733459	1675	-0,323942124843597	
1678,125	1,05817759037018	1678,125	-0,321880698204041	
1681,25	1,06144189834595	1681,25	-0,319960594177246	
1684,375	1,06261265277863	1684,375	-0,312887221574783	
1687,5	1,06405222415924	1687,5	-0,311944186687469	
1690,625	1,06592774391174	1690,625	-0,30904021859169	
1693,75	1,06866598129272	1693,75	-0,306465923786163	
1696,875	1,06885075569153	1696,875	-0,304688721895218	
1700	1,07037401199341	1700	-0,302076101303101	
1703,125	1,0710506439209	1703,125	-0,300258189439774	
1706,25	1,07246994972229	1706,25	-0,297531455755234	
1709,375	1,07359600067139	1709,375	-0,292517960071564	
1712,5	1,07589817047119	1712,5	-0,290270894765854	
1715,625	1,07739317417145	1715,625	-0,286949157714844	
